ㄱㅓㄷㅡㄹㄸㅓㄷㅗ	ㄱㅓㄷㅡㄹㄸㅡ/VV+ㅇㅓㄷㅗ,
ㄷㅓㅅㅂㅜㅌㅇㅕㅈㅣㄹ	ㄷㅓㅅㅂㅜㅌㅇㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㄹ,
ㅆㅓㅂㅗㄹ	ㅆㅡ/VV+ㅇㅓ/EC+ㅂㅗ/VX+ㄹ,
ㅈㅏㅁㄱㅕㄷㅡㄴㄷㅏ	ㅈㅏㅁㄱㅣ/VV+ㅇㅓ/EC+ㄷㅡㄹ/VX+ㄴㄷㅏ,
ㅅㅏㄹㅏㅈㅕㅂㅓㄹㅣㄴㄷㅏ	ㅅㅏㄹㅏㅈㅣ/VV+ㅇㅓ/EC+ㅂㅓㄹㅣ/VX+ㄴㄷㅏ,
ㅎㅐㅅㅓㄹㅏ	ㅎㅏ/VX+ㅇㅏㅅㅓ/EC+ㅇㅣ/VCP+ㄹㅏㄷㅗ,
s	S,
ㄷㅓㅅㅂㅜㅌㅇㅕㅈㅣㄴ	ㄷㅓㅅㅂㅜㅌㅇㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㄴ,
ㅆㅓㅂㅗㄴ	ㅆㅡ/VV+ㅇㅓ/EC+ㅂㅗ/VX+ㄴ,
ㄴㅗㄴㅣㄹ	ㄴㅗㄴㅣㄹ/VV+ㄹ,
‘ㄷㅗㅇㅂㅏㅇㅇㅖㅇㅢㅈㅣㄱㅜㄱ’	'/SS+ㄷㅗㅇㅂㅏㅇㅇㅖㅇㅢㅈㅣㄱㅜㄱ/NNG+',
ㅅㅡㅁㅕㄷㅡㄴㄷㅏ	ㅅㅡㅁㅕㄷㅡㄹ/VV+ㄴㄷㅏ,
z	Z,
x	X,
ㅎㅐㄷㅡㄹㅣㄴㄷㅏ	ㅎㅏ/VV+ㅇㅏ/EC+ㄷㅡㄹㅣ/VX+ㄴㄷㅏ,
ㅌㅐㅂㅗㅇㅇㅣㄱㅜㄴㅏ.	ㅌㅐㅂㅗㅇㅇㅣ/NNP+ㅇㅣ/VCP+ㄱㅜㄴㅏ/EF+.,
ㄱㅝㄴㅎㅐ	ㄱㅝㄴㅎㅏ/VV+ㅇㅏ,
ㅌㅓㄸㅡㄹㅕ	ㅌㅓㄸㅡㄹㅣ/VV+ㅇㅓ,
ㅇㅏㄴㄱㅕㅈㅜㄴㄷㅏㅁㅕㄴ	ㅇㅏㄴㄱㅣ/VV+ㅇㅓ/EC+ㅈㅜ/VX+ㄴㄷㅏㅁㅕㄴ,
ㅍㅕㄹㅊㅕㅇㅗㄴ	ㅍㅕㄹㅊㅣ/VV+ㅇㅓ/EC+ㅇㅗ/VX+ㄴ,
ㄱㅝㄴㅎㅐㅆ	ㄱㅝㄴㅎㅏ/VV+ㅇㅏㅆ,
ㄷㅚㄴㄱㅓ	ㄷㅚ/XSV+ㄴ/ETM+ㄱㅓ/NNB+ㅇㅣ,ㄷㅚ/VV+ㄴ/ETM+ㄱㅓ/NNB+ㅇㅣ,
ㅎㅣㅁㄱㅕㅇㅜ	ㅎㅣㅁㄱㅕㅂ,
“ㅇㅠㄱㅈㅣ	"/SS+ㅇㅠㄱㅈㅣ/NNG+ㅇㅣ,
ㅎㅣㅁㄱㅕㅇㅝ	ㅎㅣㅁㄱㅕㅂ/VA+ㅇㅓ,
‘Geisteswissenschaft’	'/SS+Geisteswissenschaft/SL+'/SS+ㅇㅣ,
ㄱㅡㄹㅐㄷㅗ	ㄱㅡㄹㅓㅎ/VA+ㅇㅓㄷㅗ,ㄱㅡㄹㅓ/VV+ㅇㅓㄷㅗ,
ㅁㅐㄱㅣㅁㅎㅐㅆ	ㅁㅐㄱㅣ/VV+ㅁ/ETN+ㅎㅏ/XSV+ㅇㅏㅆ,
ㄷㅡㄹㅊㅕㅆ	ㄷㅡㄹㅊㅣ/VV+ㅇㅓㅆ,
ㄱㅡㄹㅐㄷㅜ	ㄱㅡㄹㅓㅎ/VA+ㅇㅓㄷㅜ,ㄱㅡㄹㅓ/VV+ㅇㅓㄷㅜ,
ㅇㅓㅍㄷㅡㄹㅕㅅㅓ	ㅇㅓㅍㄷㅡㄹㅣ/VV+ㅇㅓㅅㅓ,
ㅅㅣㄹㅕㅇㅜㅁㅕㄴ	ㅅㅣㄹㅕㅂ/VA+ㅇㅡㅁㅕㄴ,
ㅂㅐㅇㅝㅇㅑ	ㅂㅐㅇㅜ/VV+ㅇㅓㅇㅑ/EC+ㅎㅏ,ㅂㅐㅇㅜ/VV+ㅇㅓㅇㅑ,
ㅅㅣㅋㅕㅅㅓ	ㅅㅣㅋㅣ/VV+ㅇㅓㅅㅓ,ㅅㅣㅋㅣ/XSV+ㅇㅓㅅㅓ,
ㅁㅐㅇㅜㄴㄱㅏ	ㅁㅐㅂ/VA+ㄴㄱㅏ,
‘ㅂㅣㄹㅣㄴㄴㅐ’	'/SS+ㅂㅣㄹㅣㄴㄴㅐ/NNG+',
ㄴㅐㄷㅏㄹㄹㅕㅆ	ㄴㅐㄷㅏㄹㄹㅣ/VV+ㅇㅓㅆ,
ㅆㅜㄱㅅㅡㄹㅓㅇㅝㅆ	ㅆㅜㄱㅅㅡㄹㅓㅂ/VA+ㅇㅓㅆ,
ㅁㅔㅁㅏㄹㄹㅏㅂㅓㄹㅣㄴ	ㅁㅔㅁㅏㄹㅡ/VA+ㅇㅏ/EC+ㅂㅓㄹㅣ/VX+ㄴ,
ㅇㅓㅇㅜㄹㄹㅕ	ㅇㅓㅇㅜㄹㄹㅣ/VV+ㅇㅓ,
ㄱㅡㄹㅐㄹㅏ	ㄱㅡㄹㅓ/VV+ㅇㅓㄹㅏ,
double	Double,
ㅇㅓㅇㅜㄹㄹㅓ	ㅇㅓㅇㅜㄹㅡ/VV+ㅇㅓ,
ㅁㅗㅅㄴㅏㅆ	ㅁㅗㅅㄴㅏ/VA+ㅇㅏㅆ,
ㅁㅣㅊㅕㅆㄴㅏㅂㅘ	ㅁㅣㅊㅣ/VV+ㅇㅓㅆ/EP+ㄴㅏ/EC+ㅂㅗ/VX+ㅇㅏ,
ㅂㅣㄹㄹㅕㅈㅜㄴㄷㅏㄱㅗ	ㅂㅣㄹㄹㅣ/VV+ㅇㅓ/EC+ㅈㅜ/VX+ㄴㄷㅏㄱㅗ,
‘ㅅㅔㄱㅖ’	'/SS+ㅅㅔㄱㅖ/NNG+',
‘ㅇㅏㄴㅁㅕㄴㅊㅣㄱㅣ’	'/SS+ㅇㅏㄴㅁㅕㄴ/NNG+ㅊㅣ/VV+ㄱㅣ/ETN+'/SS+ㅇㅣ,
ㅈㅣㅇㅓㅇㅑ	ㅈㅣㅅ/VV+ㅇㅓㅇㅑ/EC+ㅎㅏ,
ㅌㅗㅂㅏㄱㅇㅣㄷㅏ.	ㅌㅗㅂㅏㄱㅇㅣ/NNG+ㅇㅣ/VCP+ㄷㅏ/EF+.,
ㄱㅏㄲㅏㅇㅝㅈㅕㅇㅑ	ㄱㅏㄲㅏㅂ/VA+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓㅇㅑ,
·	-,
ㅁㅣㄹㅝㄷㅝㅆ	ㅁㅣㄹㅜ/VV+ㅇㅓ/EC+ㄷㅜ/VX+ㅇㅓㅆ,
“ㄷㅏ)”	"/SS+ㄷㅏ/NNG+)/SS+",
ㄸㅏㄹㅏㄴㅏㅇㅘ	ㄸㅏㄹㅡ/VV+ㅇㅏ/EC+ㄴㅏ/VX+ㅇㅏ/EC+ㅇㅗ/VX+ㅇㅏ,
ㅁㅜㅇㅓㄴㄱㅏ	ㅁㅜㅇㅓㅅ/NP+ㅇㅣ/VCP+ㄴㄱㅏ,
ㄱㅣㄹㄷㅡㄹㅇㅕㅈㅕㅇㅑ	ㄱㅣㄹㄷㅡㄹㅇㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓㅇㅑ,
ㅁㅐㅇㅓㄷㅏㄹ	ㅁㅐㄷㅏㄹ,
ㅆㅜㄱㅅㅡㄹㅓㅇㅜㄹ	ㅆㅜㄱㅅㅡㄹㅓㅂ/VA+ㄹ,
ㅅㅔㅁㅎㅐㅅㅓ	ㅅㅔㅁㅎㅏ/VV+ㅇㅏㅅㅓ,
ㅁㅓㄱㅇㅕㅅㅓ	ㅁㅓㄱㅇㅣ/VV+ㅇㅓㅅㅓ,ㅇㅏ/EC+ㅁㅓㄱㅇㅣ/VV+ㅇㅓㅅㅓ,
ㅇㅕㄱㅕㅆ	ㅇㅕㄱㅣ/VV+ㅇㅓㅆ,
ㅆㅜㄱㅅㅡㄹㅓㅇㅜㄴ	ㅆㅜㄱㅅㅡㄹㅓㅂ/VA+ㄴ,
ㅅㅔㅇㅝ	ㅅㅔㅇㅜ/VV+ㅇㅓ,
‘ㅇㅔㅇㅣ’	'/SS+ㅇㅔㅇㅣ/NNG+',
ㄱㅣㅇㅜㄹㅇㅕㄷㅗ	ㄱㅣㅇㅜㄹㅇㅣ/VV+ㅇㅓㄷㅗ,
ㄴㅏㅁㄱㅕㅈㅕㅆ	ㄴㅏㅁㄱㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㅇㅓㅆ,
‘paxi’	'/SS+paxi/SL+',
ㅁㅜㄹㄹㅓㄱㅏ	ㅁㅜㄹㄹㅓㄱㅏ/VV+ㅇㅏ,
ㅇㅏㄹㅕ	ㅇㅏㄹㅣ/VA+ㅇㅓ,
ㄲㅡㄴㄷㅏ	ㄲㅡㄹ/VV+ㄴㄷㅏ,
ㅅㅔㅇㅛ	ㅇㅣ/VCP+ㅅㅣ/EP+ㅇㅓㅇㅛ,ㅅㅣ/EP+ㅇㅓㅇㅛ,
‘ㅂㅡㄹㅣ’	'/SS+ㅂㅡㄹㅣ/NNG+',
‘ㅈㅏㅇㄴㅏㄴㄲㅜㄹㅓㄱㅣ’	'/SS+ㅈㅏㅇㄴㅏㄴㄲㅜㄹㅓㄱㅣ/NNG+',
ㅇㅏㄹㅗㅅㅐㄱㅕㅈㅣㄴ	ㅇㅏㄹㅗㅅㅐㄱㅣ/VV+ㅇㅓ/EC+ㅈㅣ/VX+ㄴ,
ㅇㅓㄹㅕㅇㅜㄹㅅㅜㄹㅗㄱ	ㅇㅓㄹㅕㅂ/VA+ㄹㅅㅜㄹㅗㄱ,
‘ㅁㅏㄴㅁㅜㄹ’	'/SS+ㅁㅏㄴㅁㅜㄹ/NNG+',
ㅎㅐㅈㅜㅇㅓㅇㅑ	ㅎㅏ/XSV+ㅇㅏ/EC+ㅈㅜ/VX+ㅇㅓㅇㅑ/EC+ㅎㅏ,
ㅃㅓㄷㅇㅓㄱㅏㅇㅑ	ㅃㅓㄷ/VV+ㅇㅓ/EC+ㄱㅏ/VX+ㅇㅏㅇㅑ,
ㄷㅡㄹㅕ	ㄷㅡㄹㅣ/VV+ㅇㅓ,
‘ㄴㅐㅈㅓㅇ’ㄷㅙㅆㅇㅓㅆ	'/SS+ㄴㅐㅈㅓㅇ/NNG+'/SS+ㄷㅚ/XSV+ㅇㅓㅆㅇㅓㅆ,
ㅊㅏㄹㅕㄱㅏㅅㅓ	ㅊㅏㄹㅣ/VV+ㅇㅓ/EC+ㄱㅏ/VX+ㅇㅏㅅㅓ,
ㅇㅏㅍㄷㅏㅇㄱㅕㅆ	ㅇㅏㅍㄷㅏㅇㄱㅣ/VV+ㅇㅓㅆ,
ㅇㅣㄴㄷㅔ.”	ㅇㅣ/VCP+ㄴㄷㅔ/EF+./SF+",
ㅍㅕㄹㅊㅕㅇㅘㅆ	ㅍㅕㄹㅊㅣ/VV+ㅇㅓ/EC+ㅇㅗ/VX+ㅇㅏㅆ,
ㄷㅏㄹㄹㅕㄴㅏㄱㅏㅆ	ㄷㅏㄹㄹㅣ/VV+ㅇㅓ/EC+ㄴㅏㄱㅏ/VV+ㅇㅏㅆ,
ㄸㅔㄷㅏ	ㄸㅔ/VV+ㅇㅓㄷㅏ,
